Transaction_ID,Bills & Fees,Data & WiFi,Education,Emergency fund,Family & Friends,Going out,Groceries,Health,Loan Repayment,Miscellaneous,Rent / Mortgage,Shopping,Transport & Fuel
ID_00x9h2yx,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_01db594f,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_07pm99no,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_09jryhkd,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0ccv924c,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0ivttwce,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0j1e3hks,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0jf2pe3w,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0mm4hawe,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0nd2x27b,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0s0y8i8f,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0s394wg4,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0s8q8hnm,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0vu9s4tx,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_0wzvo8c5,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_11ep14g6,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_16dyyfqo,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_16gprxbc,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_16lij9xh,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1bx9fazh,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1c6j4d07,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1d5k5ykd,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1hsh1z4x,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1hzu14dt,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1iab3bqm,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1idktyre,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1jaoyv9g,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1jnjzhdr,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1uh3vz8w,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1yj8z7bp,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_1ztrnc7z,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_225w0wj5,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_24i4hqpu,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_24tnwq38,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_287cta3i,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_28qzu2wn,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_29d3uapu,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_2eqzpegq,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_2gonme5r,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_2h89w814,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_2i284yic,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_2rc2fy5t,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_2xuwrm2w,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_32k5anyk,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_32k6k4ir,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_33etgqjz,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_33oqiv0p,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_35tlah5e,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3c5vnugx,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3co0g0b1,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3jnvetig,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3kanjiwh,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3khkxxrg,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3r9jjv69,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3re1tikk,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3rtah7yu,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_3yppy2ju,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_40u68xpe,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_414obsy0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_416hrvpe,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_43glvgyg,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_43xe0u4c,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_43xyvyhs,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_447qwpu7,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_46djzo7m,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_46m7z544,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4b8k3gms,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4cdhz7zg,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4fq99m18,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4grory4k,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4jb2bq7j,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4lvxf0we,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4lxfuit2,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4m3vtc2f,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4p8l0pmb,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4qtv6bfv,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4r8in07g,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_4w2ihmx4,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_56sazjky,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_57nmx2uz,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5chd4yjo,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5ftrvtn3,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5io6ec10,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5iudvchf,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5o7t5mf8,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5q01mlnm,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5qc4t6x8,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_5uk0yvur,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_608818ir,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_61m46502,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6407qdjh,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_65ansnya,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_66nu0fqw,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6d5p9y2e,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6d9wplkp,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6dl8znxv,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6fnnqrnu,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6ggrcqnv,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6jitepjj,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6kg9z3bf,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6kl016y9,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6ldaoy9h,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6lnwp36g,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6ncjvz4j,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_6pf47p35,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_70jnf39t,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_78p20ub3,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7h5ajzbw,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7l35iq1t,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7nnco8o0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7p66c9jw,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7s4cdh78,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7syp5e2f,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7tb19a9v,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7vujq4el,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7xnl1kwl,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_7yvz13nq,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_807vl0zu,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_81rystyl,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_846kyzn4,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_84d14w4i,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_87hehlr7,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8c4rqlwv,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8jnymxl0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8oyhw5j0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8pk4rtlf,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8qifwfzd,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8sxpos2x,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8uzg6enc,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8xk4sxsy,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8xmrih95,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8ycepky1,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8yu3auoc,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_8zf9l9dp,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_91rw5dgn,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_969oonk1,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_99q50kio,0,0,0,0,0,0,0,0,0,0,0,0,0
ID_9ag9mzwa,0,0,0,0,0,0,0,0,0,0,0,0,0
